"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","6146811140","5963452000","6.66","3066200","","","/mutual-fund/holding-history/609497/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","4873505552","4920471000","5.5","3403286","","","/mutual-fund/holding-history/609497/584/"
"Larsen & Toubro Ltd","LT","500510","Industrials","2997727347.3","3054240000","3.41","831063","","","/mutual-fund/holding-history/609497/800/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","3250144800","3017992000","3.37","2124000","","","/mutual-fund/holding-history/609497/1127/"
"Infosys Ltd","INFY","500209","Technology","2731176000","2625336000","2.93","1680000","","","/mutual-fund/holding-history/609497/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","2449458000","2485737000","2.78","2085000","150000","7.75","/mutual-fund/holding-history/609497/140/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","235114331.25","2355762000","2.63","256605","","","/mutual-fund/holding-history/609497/150/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","1921678680","1785187000","1.99","599700","","","/mutual-fund/holding-history/609497/807/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","1770649440","1714829000","1.92","139202","30000","27.47","/mutual-fund/holding-history/609497/842/"
"NTPC Ltd","NTPC","532555","Utilities","1526980000","1519245000","1.7","4550000","","","/mutual-fund/holding-history/609497/959/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","1526463500","1513187000","1.69","835000","","","/mutual-fund/holding-history/609497/60957/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","1617579946.2","1479527000","1.65","797073","","","/mutual-fund/holding-history/609497/187/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","1644574000","1468510000","1.64","131000","","","/mutual-fund/holding-history/609497/1443/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","1397819045","1455781000","1.63","3058685","","","/mutual-fund/holding-history/609497/4813/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1448305000","1326223000","1.48","235000","","","/mutual-fund/holding-history/609497/1412/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","1253352940","1303920000","1.46","528395","","","/mutual-fund/holding-history/609497/1436676/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1319139888","1279887000","1.43","3152820","","","/mutual-fund/holding-history/609497/1026/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","1268855000","1273167000","1.42","4900000","300000","6.52","/mutual-fund/holding-history/609497/189/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","1230567520","1242331000","1.39","249760","","","/mutual-fund/holding-history/609497/80502/"
"State Bank of India","SBIN","500112","Financial Services","1234164000","1234696000","1.38","1520000","","","/mutual-fund/holding-history/609497/1193/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","1190067200","1204584000","1.35","512960","","","/mutual-fund/holding-history/609497/560/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","1198215183.36","1183988000","1.32","7732416","-1800000","-18.88","/mutual-fund/holding-history/609497/878/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","1253983009.5","1130844000","1.26","771065","","","/mutual-fund/holding-history/609497/1071/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1215159914","1113522000","1.24","208916","32000","18.09","/mutual-fund/holding-history/609497/1784/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","1179318524","1099500000","1.23","600590","","","/mutual-fund/holding-history/609497/2170198/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1154055900.9","1077900000","1.2","684859","150000","28.04","/mutual-fund/holding-history/609497/1374/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","1123379117.1","1053536000","1.18","2563037","","","/mutual-fund/holding-history/609497/556/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1051306452","1035928000","1.16","409005","","","/mutual-fund/holding-history/609497/1090/"
"Coal India Ltd","COALINDIA","533278","Energy","1005550000","1032980000","1.15","2600000","","","/mutual-fund/holding-history/609497/275/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","959086822.8","1023279000","1.14","1131132","","","/mutual-fund/holding-history/609497/745/"
